"clustering_ids","market_ids","car_ids","firm_ids","make","model","shares","quantity","trend","prices","mpg","hp","wt","len","wid","ht","wb","Doors","Seats","hpwt","space","ULSP","ULSD","CPI","mpd","region","Segment","Segment_Desc","low_share","Viz1","Viz2","Viz3","Viz4","Viz5","count"
"16_5",2008,"16_5_2008","GM","Chevrolet","Captiva",0.00016144615864111,1295,0,27.2288750210828,3.54285714285714,146,395.414344285714,4635,1870,1720,2705,5,6.14285714285714,0.369232937828135,1.3434588878493,1.26329579511398,1.38792344019617,0.847,0.58790690776748,"United States",7,"J-segment (SUV)",0,-1.5335435,-0.91475033,0.4920691385,-1.2161327,-0.211379355,7
"16_5",2013,"16_5_2013","GM","Chevrolet","Captiva",0.000138648096371316,1146,5,27.6456852791878,4.06,176.8,411.823016,4673,2269,1727,2707,5,6.6,0.42931063376992,1.64347579690047,1.36365482233503,1.42727645450996,0.985,0.639996288170977,"United States",7,"J-segment (SUV)",0,-1.5335435,-0.91475033,0.4920691385,-1.2161327,-0.211379355,7
"16_5",2012,"16_5_2012","GM","Chevrolet","Captiva",0.000149172341920942,1231,4,28.2355619146722,4.1375,175.75,409.8939735,4673,2269,1727,2707,5,6.5,0.42876941687946,1.64347579690047,1.41259105098855,1.47933363438242,0.961,0.629436020730446,"United States",7,"J-segment (SUV)",0,-1.5335435,-0.91475033,0.4920691385,-1.2161327,-0.211379355,7
"16_5",2011,"16_5_2011","GM","Chevrolet","Captiva",0.000172472971701974,1412,3,29.8736616702355,3.96,176.8,411.823016,4673,2269,1727,2707,5,6.6,0.42931063376992,1.64347579690047,1.42840759347719,1.48613902157799,0.934,0.597757101597967,"United States",7,"J-segment (SUV)",0,-1.5335435,-0.91475033,0.4920691385,-1.2161327,-0.211379355,7
"16_5",2009,"16_5_2009","GM","Chevrolet","Captiva",0.000131053806382246,1058,1,24.9389273800359,3.53333333333333,144.888888888889,391.442528888889,4635,1870,1720,2705,5,5.88888888888889,0.370140897311686,1.3434588878493,1.15004441286196,1.20266033043169,0.866,0.660720446746324,"United States",7,"J-segment (SUV)",0,-1.5335435,-0.91475033,0.4920691385,-1.2161327,-0.211379355,7
"16_5",2010,"16_5_2010","GM","Chevrolet","Captiva",0.000271316876475216,2207,2,27.2012490678598,3.55833333333333,146.833333333333,397.474614166667,4635,1870,1720,2705,5,6.33333333333333,0.369415625803373,1.3434588878493,1.30764713474445,1.3337183789365,0.894,0.592677840723355,"United States",7,"J-segment (SUV)",0,-1.5335435,-0.91475033,0.4920691385,-1.2161327,-0.211379355,7
"16_5",2014,"16_5_2014","GM","Chevrolet","Captiva",2.35292981994657e-05,195,6,27.231,4.06,176.8,411.823016,4673,2269,1727,2707,5,6.6,0.42931063376992,1.64347579690047,1.27417884615385,1.33474230769231,1,0.684645319805017,"United States",7,"J-segment (SUV)",0,-1.5335435,-0.91475033,0.4920691385,-1.2161327,-0.211379355,7
"16_7",2011,"16_7_2011","GM","Chevrolet","Cruze",0.000168808531793291,1382,3,18.0551207265746,4.4448275862069,140.724137931034,305.301859310345,4567.41379310345,1791.10344827586,1477,2685,4.3448275862069,5,0.460934428139155,1.26801404763162,1.42840759347719,1.48613902157799,0.934,0.670941226018616,"United States",3,"C-segment (compact)",0,-0.38371524,0.6071974,0.75298744,-0.5028254,0.058892056,7
"16_7",2012,"16_7_2012","GM","Chevrolet","Cruze",0.00023327112769928,1925,4,18.9726936739747,4.87931034482759,142.103448275862,313.040835724138,4561.68965517241,1795.75862068966,1477,2685,4.82758620689655,5,0.453945402832646,1.26971640681662,1.41259105098855,1.47933363438242,0.961,0.742287296037988,"United States",3,"C-segment (compact)",0,-0.38371524,0.6071974,0.75298744,-0.5028254,0.058892056,7
"16_7",2015,"16_7_2015","GM","Chevrolet","Cruze",1.19271110390184e-07,1,7,18.0702,5.348,120,306.06298536,4587.92,1797,1477,2685,4.92,5,0.392076159940911,1.27790023312884,1.11033846153846,1.14996923076923,1,1.04093688991462,"United States",3,"C-segment (compact)",0,-0.38371524,0.6071974,0.75298744,-0.5028254,0.058892056,7
