"file_name","V3","V4","V8","V15"
"Audi$$A4$$2012$$White$$7_5$$535$$image_0.jpg",-1.1046767,-1.5596845,-2.257123,0.75209653
"Audi$$A5 Cabriolet$$2010$$White$$7_10$$406$$image_4.jpg",-1.7315552,-1.4290876,0.30553064,2.373826
"Audi$$A5 Cabriolet$$2011$$Grey$$7_10$$326$$image_5.jpg",-1.4745189,-0.6727958,-1.1746646,1.059756
"Audi$$A5 Cabriolet$$2011$$Silver$$7_10$$327$$image_1.jpg",-1.4372957,-0.44641602,-0.05097698,1.00863
"Audi$$A5 Cabriolet$$2011$$Silver$$7_10$$486$$image_4.jpg",-1.3271779,-0.19280142,-0.71544945,0.78037363
"Audi$$A5 Cabriolet$$2013$$White$$7_10$$21$$image_5.jpg",-1.6574175,-1.691889,-1.2975608,3.318303
"Audi$$A5 Cabriolet$$2013$$White$$7_10$$378$$image_5.jpg",-0.9837603,-1.0648258,-0.58770794,3.5661047
"Audi$$A5 Cabriolet$$2014$$Silver$$7_10$$396$$image_2.jpg",-1.2175183,-0.9830289,-0.9404423,2.2946866
"Audi$$A5 Cabriolet$$2014$$White$$7_10$$239$$image_2.jpg",-0.7706273,-1.3878769,-1.7158699,2.3842766
"Audi$$A5 Cabriolet$$2015$$Multicolour$$7_10$$421$$image_6.jpg",-1.47452,-0.9815964,-1.4205558,1.9999585
"Audi$$A5 Cabriolet$$2015$$Silver$$7_10$$758$$image_0.jpg",-1.3978289,-0.5943976,0.42437848,0.55757856
"Audi$$A5 Cabriolet$$2015$$Silver$$7_10$$820$$image_5.jpg",-0.8847222,-1.3582871,-1.360811,0.6223552
"Audi$$A5 Cabriolet$$2017$$Multicolour$$7_10$$730$$image_17.jpg",-1.177669,-1.3586242,-0.090591624,0.91692936
"Audi$$A5 Cabriolet$$2017$$White$$7_10$$3$$image_4.jpg",-1.3259708,-1.4599819,-0.42727372,1.8101615
"Audi$$A5 Cabriolet$$2017$$White$$7_10$$796$$image_2.jpg",-0.27300555,-1.0382714,-1.3741751,2.0341222
"Audi$$A5$$2007$$Silver$$7_9$$448$$image_1.jpg",-1.3712682,-0.3739894,-1.0926474,2.083096
"Audi$$A5$$2009$$White$$7_9$$311$$image_1.jpg",-1.485662,-0.5798016,-0.95433193,0.80412793
"Audi$$A5$$2010$$Grey$$7_9$$278$$image_4.jpg",-1.7200323,-0.5651854,1.1641004,1.4280399
"Audi$$A5$$2015$$White$$7_9$$125$$image_0.jpg",-1.7487881,-1.2961086,0.64389765,2.5738513
"Audi$$A5$$2015$$White$$7_9$$704$$image_0.jpg",-1.5334165,-2.9863985,-0.32826582,1.6584387
"Audi$$A6 Allroad$$2008$$Black$$7_11$$151$$image_10.jpg",0.10152806,1.9782672,-0.76717776,1.5582364
"Audi$$A6 Avant$$2008$$Silver$$7_11$$881$$image_10.jpg",-1.3525054,-0.10836136,-1.9104158,1.195628
"Audi$$A6 Avant$$2011$$Silver$$7_11$$1085$$image_11.jpg",-1.4611441,-0.14421631,0.86151373,2.8009238
"Audi$$A6 Avant$$2013$$White$$7_11$$711$$image_7.jpg",-0.9416907,-1.7740277,0.4458241,3.0864573
"Audi$$A6 Avant$$2013$$White$$7_11$$976$$image_2.jpg",-1.4872664,-3.431026,0.3351713,1.4616225
"Audi$$A6 Avant$$2014$$White$$7_11$$293$$image_2.jpg",-0.66865885,-0.5607809,-1.6483319,1.6856849
"Audi$$A6 Avant$$2014$$White$$7_11$$605$$image_4.jpg",-1.4650325,-2.0477617,-1.7298385,1.8358401
"Audi$$A6 Avant$$2015$$White$$7_11$$658$$image_0.jpg",-1.4669544,-3.4977107,0.18970244,0.9022909
"Audi$$A6 Avant$$2016$$White$$7_11$$1152$$image_7.jpg",-1.2774671,-2.9962242,-1.6351401,2.1163802
"Audi$$A6 Avant$$2016$$White$$7_11$$427$$image_2.jpg",-1.153082,-2.154069,-1.5808,2.8889213
"Audi$$A6 Avant$$2016$$White$$7_11$$745$$image_2.jpg",-0.8194859,-1.3975047,-2.3332431,2.6104312
"Audi$$A6 Avant$$2016$$White$$7_11$$768$$image_2.jpg",-0.8194859,-1.3975047,-2.3332431,2.6104312
